SampleID,Date,Island,Lat,Lon,Exposure,Host_Species,Colony_Color
CHPd26,2015-03-19T06:00:00Z,Three Brothers,-6.15556,71.51945,leeward,P. acuta,Healthy
CHPd32,2015-03-19T06:00:00Z,Three Brothers,-6.15556,71.51945,leeward,P. acuta,Healthy
CHPd33,2015-03-19T06:00:00Z,Three Brothers,-6.15556,71.51945,leeward,P. acuta,Healthy
CHPd34,2015-03-21T06:00:00Z,South Brother,-6.16828,71.54042,leeward,P. acuta,Healthy
CHPd37,2015-03-21T06:00:00Z,Three Brothers,-6.02659,71.61644,lagoonal,P. acuta,Pale
CHPd38,2015-03-21T06:00:00Z,Three Brothers,-6.02659,71.61644,lagoonal,P. acuta,Healthy
CHPd41,2015-03-21T06:00:00Z,Three Brothers,-6.02659,71.61644,lagoonal,P. acuta,Healthy
CHPd42,2015-03-21T06:00:00Z,Three Brothers,-6.02659,71.61644,lagoonal,P. acuta,Bleached
CHPd43,2015-03-21T06:00:00Z,Three Brothers,-6.02659,71.61644,lagoonal,P. acuta,Healthy
CHPd45,2015-03-24T06:00:00Z,Three Brothers,-6.02659,71.61644,leeward,P. acuta,Healthy
CHPd47,2015-03-26T06:00:00Z,South Brother,-6.16601,71.52676,windward,P. acuta,Healthy
CHPd50,2015-03-27T06:00:00Z,Middle Brother,-6.15979,71.5271,leeward,P. acuta,Healthy
CHPd51,2015-03-27T06:00:00Z,Middle Brother,-6.16313,71.52572,leeward,P. acuta,Healthy
CHPd52,2015-03-27T06:00:00Z,Middle Brother,-6.16313,71.52572,leeward,P. acuta,Healthy
CHPd53,2015-03-27T06:00:00Z,Middle Brother,-6.16313,71.52572,leeward,P. acuta,Healthy
CHPd56,2015-03-28T06:00:00Z,Middle Brother,-6.16175,71.5264,leeward,P. acuta,Healthy
CHPd57,2015-03-28T06:00:00Z,Middle Brother,-6.1479,71.52411,leeward,P. acuta,Healthy
CHPd58,2015-03-28T06:00:00Z,Middle Brother,-6.1479,71.52411,leeward,P. acuta,Healthy
