"SampleID","Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales","Bacteria_Proteobacteria_Gammaproteobacteria_Betaproteobacteriales","Bacteria_Proteobacteria_Gammaproteobacteria_Alteromonadales","Bacteria_Proteobacteria_Gammaproteobacteria_Oceanospirillales","Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales","Bacteria_Firmicutes_Bacilli_Bacillales","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales","Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales","Bacteria_Bacteroidetes_Bacteroidia_Cytophagales","Bacteria_Bacteroidetes_Bacteroidia_Flavobacteriales","Bacteria_Epsilonbacteraeota_Campylobacteria_Campylobacterales","Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales","Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales","Bacteria_Nitrospirae_Nitrospira_Nitrospirales","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales","Bacteria_Proteobacteria_Alphaproteobacteria_Caulobacterales","Bacteria_Acidobacteria_Acidobacteriia_Solibacterales","Bacteria_Proteobacteria_Gammaproteobacteria_Salinisphaerales","Bacteria_Proteobacteria_Gammaproteobacteria_Cellvibrionales","Bacteria_Proteobacteria_Gammaproteobacteria_Francisellales","Bacteria_Acidobacteria_Holophagae_Acanthopleuribacterales","Bacteria_Proteobacteria_Gammaproteobacteria_Xanthomonadales","Bacteria_Tenericutes_Mollicutes_Entomoplasmatales","Bacteria_Actinobacteria_Actinobacteria_Micrococcales","Bacteria_Proteobacteria_Deltaproteobacteria_Oligoflexales","Bacteria_Bacteroidetes_Bacteroidia_Sphingobacteriales","Bacteria_Bacteroidetes_Bacteroidia_Chitinophagales","Bacteria_Actinobacteria_Acidimicrobiia_Actinomarinales","Bacteria_Spirochaetes_Spirochaetia_Spirochaetales","Bacteria_Firmicutes_Bacilli_Lactobacillales","Bacteria_Proteobacteria_Alphaproteobacteria_Micavibrionales","Bacteria_Fusobacteria_Fusobacteriia_Fusobacteriales","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales","Bacteria_Proteobacteria_Alphaproteobacteria_Puniceispirillales","Bacteria_Firmicutes_Erysipelotrichia_Erysipelotrichales","Bacteria_Proteobacteria_Gammaproteobacteria_Piscirickettsiales","Bacteria_Planctomycetes_Phycisphaerae_Phycisphaerales","Bacteria_Proteobacteria_Deltaproteobacteria_Bdellovibrionales","Bacteria_Proteobacteria_Gammaproteobacteria_Pasteurellales","Bacteria_Firmicutes_Clostridia_Clostridiales","Bacteria_Proteobacteria_Alphaproteobacteria_Rickettsiales","Bacteria_Proteobacteria_Deltaproteobacteria_Myxococcales","Bacteria_Proteobacteria_Alphaproteobacteria_SAR11_clade","Bacteria_Planctomycetes_Planctomycetacia_Pirellulales","Bacteria_Chlamydiae_Chlamydiae_Chlamydiales","Bacteria_Proteobacteria_Gammaproteobacteria_Aeromonadales","Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales","Bacteria_Bacteroidetes_Rhodothermia_Rhodothermales","Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_Incertae_Sedis","Bacteria_Bacteroidetes_Rhodothermia_Balneolales","Bacteria_Proteobacteria_Gammaproteobacteria_Nitrosococcales","Bacteria_Verrucomicrobia_Verrucomicrobiae_Verrucomicrobiales","Bacteria_Proteobacteria_Alphaproteobacteria_Paracaedibacterales","Bacteria_Proteobacteria_Gammaproteobacteria_Legionellales","Bacteria_Proteobacteria_Deltaproteobacteria_Desulfovibrionales","Bacteria_Proteobacteria_Deltaproteobacteria_Desulfobacterales","Bacteria_Actinobacteria_Acidimicrobiia_Microtrichales","Bacteria_Firmicutes_Negativicutes_Selenomonadales","Bacteria_Kiritimatiellaeota_Kiritimatiellae_Kiritimatiellales","Bacteria_Proteobacteria_Gammaproteobacteria_Arenicellales","Bacteria_Gemmatimonadetes_Gemmatimonadetes_Gemmatimonadales","Bacteria_Actinobacteria_Nitriliruptoria_Nitriliruptorales","Bacteria_Tenericutes_Mollicutes_Acholeplasmatales","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodovibrionales","Bacteria_Proteobacteria_Gammaproteobacteria_Beggiatoales","Bacteria_Actinobacteria_Actinobacteria_Streptosporangiales","Bacteria_Lentisphaerae_Lentisphaeria_Lentisphaerales","Bacteria_Acidobacteria_Blastocatellia_(Subgroup_4)_Blastocatellales","Bacteria_Actinobacteria_Actinobacteria_Propionibacteriales","Bacteria_Acidobacteria_Thermoanaerobaculia_Thermoanaerobaculales","Bacteria_Actinobacteria_Actinobacteria_Pseudonocardiales","Bacteria_Actinobacteria_Actinobacteria_Frankiales","Bacteria_Chloroflexi_Anaerolineae_Caldilineales","Bacteria_Verrucomicrobia_Verrucomicrobiae_Opitutales","Bacteria_Thermotogae_Thermotogae_Petrotogales","Bacteria_Planctomycetes_Phycisphaerae_MSBL9","Bacteria_Proteobacteria_Alphaproteobacteria_Parvibaculales","Bacteria_Planctomycetes_Planctomycetacia_Gemmatales","Bacteria_Tenericutes_Mollicutes_Mycoplasmatales","Bacteria_Proteobacteria_Alphaproteobacteria_Kordiimonadales","Bacteria_Proteobacteria_Alphaproteobacteria_Sneathiellales","Bacteria_Proteobacteria_Deltaproteobacteria_Bradymonadales","Bacteria_Proteobacteria_Alphaproteobacteria_Acetobacterales","Bacteria_Proteobacteria_Gammaproteobacteria_Steroidobacterales","Bacteria_Planctomycetes_Planctomycetacia_Planctomycetales","Bacteria_Actinobacteria_Actinobacteria_Actinomycetales","Bacteria_Proteobacteria_Deltaproteobacteria_Desulfarculales","Bacteria_Bacteroidetes_Ignavibacteria_Ignavibacteriales","Bacteria_Proteobacteria_Gammaproteobacteria_Coxiellales"
"CHPd26",0.0410266774454325,0.00181891673403395,0.284357316087308,0.201495553759095,0,0,0.388439773645918,0.0517380759902991,0,0.0234438156831043,0,0.00222312045270817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141471301535974,0,0.00303152789005659,0,0,0,0,0.00101050929668553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd32",0.00766785113147559,0.148307462128296,0.279221993641294,0.103609500654573,0.0506826257714606,0.00355339442678137,0.241256779502525,0.0677015148681504,0.0448849822330279,0.0157097437815598,0,0.0170188890966897,0,0,0.00392743594538994,0,0,0,0,0,0,0.00411445670469422,0,0.00317935290817281,0,0,0.00224424911165139,0,0,0,0.00355339442678137,0,0,0,0,0,0,0,0,0,0.00336637366747709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd33",0.152495561254685,0.00414282896034721,0.247780627342671,0.131189583744328,0.00572104951666995,0.00177549812586309,0.342079305582955,0.0447820082856579,0.00177549812586309,0.0193332018149536,0,0.013809429867824,0,0,0.0104557111856382,0.00611560465575064,0,0,0,0,0,0.00473466166896824,0,0.00335371868218584,0,0,0,0,0,0,0,0.00118366541724206,0.000986387847701716,0.00315644111264549,0,0,0,0.00118366541724206,0,0,0,0,0,0.00197277569540343,0,0,0,0.00197277569540343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd34",0.18697299278993,0.00611022852254674,0.124526457289503,0.29145790052548,0.00268850054992057,0,0.328730294513015,0.0200415495539533,0.00024440914090187,0.0250519369424416,0,0.000611022852254674,0.00134425027496028,0,0.00317731883172431,0,0,0.00134425027496028,0,0,0,0,0,0,0,0,0.00122204570450935,0,0,0,0.00195527312721496,0,0,0.000733227422705609,0,0,0.00109984113405841,0.000977636563607479,0,0,0,0,0,0.00171086398631309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd37",0.182547642928786,0.00802407221664995,0.372367101303912,0.0797392176529589,0.00827482447342026,0.00125376128385155,0.126128385155466,0.062938816449348,0.067703109327984,0.05641925777332,0,0.00501504513540622,0.00476429287863591,0.00250752256770311,0.00426278836509529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00576730190571715,0,0,0,0,0,0,0,0,0.00325977933801404,0,0,0.00125376128385155,0,0,0,0,0,0.0022567703109328,0,0,0.00275827482447342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275827482447342,0,0,0,0,0,0
"CHPd38",0.250400256163945,0.0288184438040346,0.306115914185078,0.0576368876080692,0.0032020493115594,0.00224143451809158,0.104707012487992,0.0784502081332052,0.0281780339417227,0.0579570925392251,0,0.0525136087095741,0.0016010246557797,0,0.0064040986231188,0,0,0,0,0.0032020493115594,0,0,0,0.0016010246557797,0,0,0,0.00288184438040346,0,0.00416266410502722,0,0,0.0032020493115594,0,0,0,0,0,0.0016010246557797,0,0,0,0,0.00416266410502722,0.000960614793467819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd41",0.154060066740823,0.0301724137931034,0.369994438264739,0.125973303670745,0.00611790878754171,0.00125139043381535,0.112208008898776,0.0760567296996663,0.00152947719688543,0.0493604004449388,0,0.00542269187986652,0.00166852057842047,0,0.0136262513904338,0.000973303670745272,0,0,0,0,0,0.0057007786429366,0,0.0112625139043382,0,0,0,0,0,0,0.00834260289210234,0,0.00125139043381535,0.000695216907675195,0,0,0.000417130144605117,0,0,0,0,0.00125139043381535,0,0.00139043381535039,0.000973303670745272,0,0.0136262513904338,0,0.000973303670745272,0,0,0,0,0,0.00208565072302558,0.000973303670745272,0,0,0,0,0,0,0,0,0,0,0,0,0.000695216907675195,0,0,0,0,0,0,0,0,0,0,0.00194660734149054,0,0,0,0,0,0,0,0,0
"CHPd42",0,0.267283950617284,0.241666666666667,0.0688271604938272,0.103395061728395,0,0.13179012345679,0.0367283950617284,0.0376543209876543,0.0296296296296296,0,0.00185185185185185,0.00154320987654321,0,0.00709876543209877,0.00185185185185185,0,0,0,0.00246913580246914,0,0.00216049382716049,0,0.00555555555555556,0,0,0,0,0,0,0.00432098765432099,0,0.0237654320987654,0,0,0,0,0,0,0,0.0290123456790123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339506172839506,0,0,0,0
"CHPd43",0.295259425158641,0.015304217991788,0.303844718178425,0.0910787607316163,0.00485255692422546,0.00186636804777902,0.147816349384099,0.051511758118701,0,0.0321015304217992,0,0.0377006345651362,0.00149309443822322,0,0,0,0,0.00522583053378126,0,0,0,0,0,0,0,0,0,0.00298618887644644,0,0.00261291526689063,0.00298618887644644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00335946248600224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHPd45",0.175720789074355,0.00364188163884674,0.111077389984825,0.120789074355083,0,0,0.0796661608497724,0.0148710166919575,0.0779969650986343,0.0411229135053111,0,0.00637329286798179,0.00106221547799697,0,0.285128983308042,0,0,0,0.00197268588770865,0,0,0.00379362670713202,0,0.00166919575113809,0,0,0.00242792109256449,0.0101669195751138,0,0.000455235204855842,0.00257966616084977,0,0.00773899848254932,0.0094081942336874,0,0,0,0,0,0,0.00182094081942337,0.0139605462822458,0.0116843702579666,0.00182094081942337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606980273141123,0,0,0,0,0,0.000455235204855842,0,0,0,0,0.00227617602427921,0,0,0,0,0,0.00227617602427921,0,0,0,0,0.00197268588770865,0,0,0,0,0,0
