Site,Sample_Type,Rep,Dilution,Substrate,Time,Absorbance
Clear_Creek,Water,1,0.001,Water,24,0
Clear_Creek,Water,1,0.001,Water,48,0
Clear_Creek,Water,1,0.001,Water,144,0
Clear_Creek,Water,1,0.001,β-Methyl-D- Glucoside,24,0.004
Clear_Creek,Water,1,0.001,β-Methyl-D- Glucoside,48,0.005
Clear_Creek,Water,1,0.001,β-Methyl-D- Glucoside,144,0.004
Clear_Creek,Water,1,0.001,D-Galactonic Acid γ-Lactone,24,0.008
Clear_Creek,Water,1,0.001,D-Galactonic Acid γ-Lactone,48,0.007
Clear_Creek,Water,1,0.001,D-Galactonic Acid γ-Lactone,144,0.001
Clear_Creek,Water,1,0.001,L-Arginine,24,0.003
Clear_Creek,Water,1,0.001,L-Arginine,48,0.002
Clear_Creek,Water,1,0.001,L-Arginine,144,0
Clear_Creek,Water,1,0.001,Pyruvic Acid Methyl Ester,24,0.002
Clear_Creek,Water,1,0.001,Pyruvic Acid Methyl Ester,48,0
Clear_Creek,Water,1,0.001,Pyruvic Acid Methyl Ester,144,0.007
Clear_Creek,Water,1,0.001,D-Xylose,24,0.011
Clear_Creek,Water,1,0.001,D-Xylose,48,0.008
Clear_Creek,Water,1,0.001,D-Xylose,144,0.021
Clear_Creek,Water,1,0.001,D-Galacturonic Acid,24,0.047
Clear_Creek,Water,1,0.001,D-Galacturonic Acid,48,0.029
Clear_Creek,Water,1,0.001,D-Galacturonic Acid,144,0.011
Clear_Creek,Water,1,0.001,L-Asparganine,24,0.001
Clear_Creek,Water,1,0.001,L-Asparganine,48,0.003
Clear_Creek,Water,1,0.001,L-Asparganine,144,0
Clear_Creek,Water,1,0.001,Tween 40,24,0.123
Clear_Creek,Water,1,0.001,Tween 40,48,0.189
Clear_Creek,Water,1,0.001,Tween 40,144,0
Clear_Creek,Water,1,0.001,i-Erythitol,24,0.007
Clear_Creek,Water,1,0.001,i-Erythitol,48,0.002
Clear_Creek,Water,1,0.001,i-Erythitol,144,0.103
Clear_Creek,Water,1,0.001,2-Hydroxy Benzoic Acid,24,0
Clear_Creek,Water,1,0.001,2-Hydroxy Benzoic Acid,48,0
Clear_Creek,Water,1,0.001,2-Hydroxy Benzoic Acid,144,0.39
Clear_Creek,Water,1,0.001,L-Phenylalanine,24,0
Clear_Creek,Water,1,0.001,L-Phenylalanine,48,0
Clear_Creek,Water,1,0.001,L-Phenylalanine,144,0
Clear_Creek,Water,1,0.001,Tween 80,24,0.476
Clear_Creek,Water,1,0.001,Tween 80,48,0
Clear_Creek,Water,1,0.001,Tween 80,144,0.165
Clear_Creek,Water,1,0.001,D-Mannitol,24,0.023
Clear_Creek,Water,1,0.001,D-Mannitol,48,0.025
Clear_Creek,Water,1,0.001,D-Mannitol,144,0.01
Clear_Creek,Water,1,0.001,4-Hydroxy Benzoic Acid,24,0.018
Clear_Creek,Water,1,0.001,4-Hydroxy Benzoic Acid,48,0.013
Clear_Creek,Water,1,0.001,4-Hydroxy Benzoic Acid,144,0.021
Clear_Creek,Water,1,0.001,L-Serine,24,0.003
Clear_Creek,Water,1,0.001,L-Serine,48,0.003
Clear_Creek,Water,1,0.001,L-Serine,144,0
Clear_Creek,Water,1,0.001,α-Cyclodextrin,24,0.138
Clear_Creek,Water,1,0.001,α-Cyclodextrin,48,0.208
Clear_Creek,Water,1,0.001,α-Cyclodextrin,144,0.031
Clear_Creek,Water,1,0.001,N-Acetyl-D-Glucosamine,24,0.094
Clear_Creek,Water,1,0.001,N-Acetyl-D-Glucosamine,48,0.166
Clear_Creek,Water,1,0.001,N-Acetyl-D-Glucosamine,144,0.12
Clear_Creek,Water,1,0.001,γ-Hydroxybutyric Acid,24,0.035
Clear_Creek,Water,1,0.001,γ-Hydroxybutyric Acid,48,0.065
Clear_Creek,Water,1,0.001,γ-Hydroxybutyric Acid,144,0.043
Clear_Creek,Water,1,0.001,L-Threonine,24,0.001
Clear_Creek,Water,1,0.001,L-Threonine,48,0.002
Clear_Creek,Water,1,0.001,L-Threonine,144,0
Clear_Creek,Water,1,0.001,Glycogen,24,0.184
Clear_Creek,Water,1,0.001,Glycogen,48,0.283
Clear_Creek,Water,1,0.001,Glycogen,144,0.299
Clear_Creek,Water,1,0.001,D-Glucosaminic Acid,24,0.076
Clear_Creek,Water,1,0.001,D-Glucosaminic Acid,48,0.16
Clear_Creek,Water,1,0.001,D-Glucosaminic Acid,144,0.148
Clear_Creek,Water,1,0.001,Itaconic Acid,24,0.029
Clear_Creek,Water,1,0.001,Itaconic Acid,48,0.01
Clear_Creek,Water,1,0.001,Itaconic Acid,144,0.02
Clear_Creek,Water,1,0.001,Glycyl-L-Glutamic Acid,24,0.001
Clear_Creek,Water,1,0.001,Glycyl-L-Glutamic Acid,48,0.005
Clear_Creek,Water,1,0.001,Glycyl-L-Glutamic Acid,144,0.005
Clear_Creek,Water,1,0.001,D-Cellobiose,24,0.109
Clear_Creek,Water,1,0.001,D-Cellobiose,48,0.133
Clear_Creek,Water,1,0.001,D-Cellobiose,144,0.137
Clear_Creek,Water,1,0.001,Glucose-1-Phosphate,24,0.052
Clear_Creek,Water,1,0.001,Glucose-1-Phosphate,48,0.033
Clear_Creek,Water,1,0.001,Glucose-1-Phosphate,144,0.048
Clear_Creek,Water,1,0.001,α-Ketobutyric Acid,24,0.038
Clear_Creek,Water,1,0.001,α-Ketobutyric Acid,48,0.029
Clear_Creek,Water,1,0.001,α-Ketobutyric Acid,144,0.042
Clear_Creek,Water,1,0.001,Phenylethylamine,24,0.003
Clear_Creek,Water,1,0.001,Phenylethylamine,48,0.002
Clear_Creek,Water,1,0.001,Phenylethylamine,144,0
Clear_Creek,Water,1,0.001,α-D-Lactose,24,0.009
Clear_Creek,Water,1,0.001,α-D-Lactose,48,0.008
Clear_Creek,Water,1,0.001,α-D-Lactose,144,0.008
Clear_Creek,Water,1,0.001,D.L -α-Glycerol Phosphate,24,0.01
Clear_Creek,Water,1,0.001,D.L -α-Glycerol Phosphate,48,0.003
Clear_Creek,Water,1,0.001,D.L -α-Glycerol Phosphate,144,0.003
Clear_Creek,Water,1,0.001,D-Mallic Acid,24,0.002
Clear_Creek,Water,1,0.001,D-Mallic Acid,48,0.001
Clear_Creek,Water,1,0.001,D-Mallic Acid,144,0
Clear_Creek,Water,1,0.001,Putrescine,24,0.025
Clear_Creek,Water,1,0.001,Putrescine,48,0.003
Clear_Creek,Water,1,0.001,Putrescine,144,0
Clear_Creek,Water,1,0.01,Water,24,0
Clear_Creek,Water,1,0.01,Water,48,0
Clear_Creek,Water,1,0.01,Water,144,0
Clear_Creek,Water,1,0.01,β-Methyl-D- Glucoside,24,0
Clear_Creek,Water,1,0.01,β-Methyl-D- Glucoside,48,0.061
Clear_Creek,Water,1,0.01,β-Methyl-D- Glucoside,144,1.841
Clear_Creek,Water,1,0.01,D-Galactonic Acid γ-Lactone,24,0
Clear_Creek,Water,1,0.01,D-Galactonic Acid γ-Lactone,48,0.002
Clear_Creek,Water,1,0.01,D-Galactonic Acid γ-Lactone,144,0.003
Clear_Creek,Water,1,0.01,L-Arginine,24,0
Clear_Creek,Water,1,0.01,L-Arginine,48,0.002
Clear_Creek,Water,1,0.01,L-Arginine,144,0.011
Clear_Creek,Water,1,0.01,Pyruvic Acid Methyl Ester,24,0.053
Clear_Creek,Water,1,0.01,Pyruvic Acid Methyl Ester,48,0.042
Clear_Creek,Water,1,0.01,Pyruvic Acid Methyl Ester,144,0.539
Clear_Creek,Water,1,0.01,D-Xylose,24,0.021
